title,location,price,flat area,flat status,year old,no. of bathrooms,description
2 BHK Apartment for sale,Vasai Mumbai,5500000,675,Ready to move,14 - 15 years old,2 Bathrooms,2 BHK Property for sale in Vasai Mumbai:Well designed 2 bhk multistorey apartment is available at a prime location in Rashmi Housing Rashmi Residency. It has an area of 675 sqft . The property is available at a price of Rs. 55.00 lac . The ...Developed by Rashmi Housing
2 BHK Apartment for sale,Vasai Mumbai,25000000,950,Ready to move,18 - 19 years old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:It has a salable area of 950 sqft and is available at a price of Rs. 26,315 per sqft. The house is semi-furnished. Its main door is facing north direction. It is a 19 year old ready-to-move-in propert...Developed by Reputed Builder"
2 BHK Apartment for sale,Vasai Mumbai,7800000,1045,Ready to move,1 - 2 years old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:A 2 bhk property is available for sale in Dattani Constructions Linear, Vasai, Mumbai. It is facing east direction. It is a 2 year old ready-to-move-in property. It is made in way to provide a comfort...Developed by Dattani Constructions"
1 BHK Apartment for sale,Vasai Mumbai,3250000,600,Ready to move,0 - 1 year old,2 Bathrooms,1 BHK Property for sale in Vasai Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in JSB Nakshatra Aastha Vasai East. It has an area of 600 sqft with a carpet area of 390 sqft . The property is available at ...Developed by JSB
3 BHK Apartment for sale,Vasai Mumbai,5500000,925,Ready to move,14 - 15 years old,2 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:This spacious 3 bhk multistorey apartment is available for sale and is located in Rashmi Housing Rashmi Residency, one of the most prestigious projects of Vasai. It has an area of 925 sqft with a carp...Developed by Rashmi Housing"
1 BHK Apartment for sale,Vasai Mumbai,3200000,560,Ready to move,14 - 15 years old,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:It has a built-up area of 560 sqft and is priced at Rs. 32.00 lac . The house is semi-furnished. It has lift available as well as power backup. The project also has children's play area, cctv, interco...Developed by Evershine Builders"
1 BHK Apartment for sale,Vasai Mumbai,4800000,650,Ready to move,12 - 13 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Near main road, near hospital, mall, dmart, lab, market, and other connectivity. More About This Property Looking for a 1 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 1 BHK proper...Developed by Agarwal"
2 BHK Apartment for sale,Vasai Mumbai,7500000,930,Ready to move,6 - 7 years old,2 Bathrooms,2 BHK Property for sale in Vasai Mumbai:Well designed 2 bhk multistorey apartment is available at a prime location in Rajhans Group Kshitij. It has a built-up area of 930 sqft and is priced at Rs. 75.00 lac . The house is semi-furnished. Th...Developed by Rajhans Group
1 BHK Apartment for sale,Vasai Mumbai,3500000,535,Ready to move,2 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A 1 bhk property is available for sale in Welcast Construction Company Naigaon Park Phase II Vadavli Project, Vasai, Mumbai. It has a built-up area of 535 sqft and is priced at Rs. 35.00 lac . It is a...Developed by Welcast Construction Company"
1 BHK Apartment for sale,Vasai Mumbai,3400000,650,Ready to move,0 - 1 year old,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in J M G Realtors NG Platinum City, Vasai. It has a built-up area of 650 sqft and is priced at Rs. 34.00 lac . It is an unfurnished property. It is east fac...Developed by J M G Realtors"
2 BHK Apartment for sale,Vasai Mumbai,10500000,650,Ready to move,11 - 12 years old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Itâs a 2 bhk multistorey apartment situated in Golden Palace, Vasai. It has a built-up area of 650 sqft and is priced at Rs. 1.05 cr . It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa a...Developed by Reputed Builder"
1 BHK Apartment for sale,Vasai Mumbai,5000000,730,Ready to move,4 - 5 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A spacious 1 bhk multistorey apartment is available for sale in Shelter Group Mumbai Shelter Heights, Vasai, Mumbai. It has an area of 730 sqft with a carpet area of 430 sqft . The property is availab...Developed by Shelter Group Mumbai"
1 BHK Apartment for sale,Vasai Mumbai,3800000,565,Ready to move,13 - 14 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A 1 bhk property is available for sale in Agarwal Nagri, Vasai, Mumbai. It has a built-up area of 565 sqft and is priced at Rs. 38.00 lac . It is an unfurnished property. It is north facing property. ...Developed by Agarwal"
1 BHK Apartment for sale,Vasai Mumbai,3000000,610,Ready to move,3 - 4 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in Jay Jinendra Realtors Jay Vijay Nagar, Vasai, Mumbai. It has a salable area of 610 sqft and is available at a price of Rs. 4,918 per sqft. It is an unfur...Developed by Jay Jinendra Realtors"
2 BHK Apartment for sale,Vasai Mumbai,8200000,930,Ready to move,10 - 11 years old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:A spacious 2 bhk multistorey apartment is available for sale in Rajhans Group Dreams, Vasai, Mumbai. It has a built-up area of 930 sqft and is priced at Rs. 82.00 lac . The house is semi-furnished. It...Developed by Rajhans Group"
1 BHK Apartment for sale,Vasai Mumbai,8500000,550,Ready to move,32 - 33 years old,2 Bathrooms,1 BHK Property for sale in Vasai Mumbai:It is an unfurnished property. Its main door is facing south direction. It is a 33 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society ...Developed by Reputed Builder
2 BHK Apartment for sale,Vasai Mumbai,6500000,990,Ready to move,2 - 3 years old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Itâs a 2 bhk multistorey apartment situated in Future Build Valmiki Heights Vasai, Vasai, Mumbai. It has an area of 990 sqft with a carpet area of 650 sqft . The property is available at a price of Rs...Developed by Future Build"
3 BHK Apartment for sale,Vasai Mumbai,11000000,1250,Ready to move,12 - 13 years old,1 Bathrooms,3 BHK Property for sale in Vasai Mumbai:One of the finest property in Vasai West is now available for sale. This is a 3 BHK Apartment. Make it yours now. It is on floor 4. It is a 7 storeyed building. This Apartment is spacious with a built...Developed by Agrawal Group
3 BHK Apartment for sale,Vasai Mumbai,12000000,1445,Ready to move,15 - 16 years old,1 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:Itâs a 3 bhk multistorey apartment situated in Evershine Builders Classique, Vasai, Mumbai. It has a salable area of 1445 sqft and is available at a price of Rs. 8,304 per sqft. It is a 15 year old re...Developed by Evershine Builders"
3 BHK Apartment for sale,Vasai Mumbai,7000000,1000,Ready to move,13 - 14 years old,3 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:Well designed 3 bhk multistorey apartment is available at a prime location in Agarwal Nagri. It has a salable area of 1000 sqft and is available at a price of Rs. 7,000 per sqft. It is a semi-furnishe...Developed by Agarwal"
2 BHK Apartment for sale,Vasai Mumbai,8500000,1050,Ready to move,10 - 11 years old,1 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Itâs a 2 bhk multistorey apartment situated in Rajhans Group Dreams, Vasai. It has an area of 1050 sqft . The property is available at a price of Rs. 85.00 lac . This residential property is ready-to-...Developed by Rajhans Group"
3 BHK Apartment for sale,Vasai Mumbai,10000000,1150,Ready to move,3 - 4 years old,3 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:This spacious 3 bhk multistorey apartment is available for sale and is located in Sai Siddhant Enterprises Palace, one of the most prestigious projects of Vasai. It has a built-up area of 1150 sqft an...Developed by Sai Siddhant Enterprises"
