title,location,price,flat area,flat status,year old,no. of bathrooms,description
2 BHK Apartment for sale,Vasai Mumbai,6500000 ,1100 ,Under Construction,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Itâs a 2 bhk multistorey apartment situated in Shree Enterprises Vasai East Karma Heights, Vasai, Mumbai. It has a built-up area of 1100 sqft and is priced at Rs. 65.00 lac . It is a semi-furnished pr...Developed by Shree Enterprises Vasai East"
1 BHK Apartment for sale,Vasai Mumbai,3400000 ,650 ,Ready to move,None,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A 1 bhk property is available for sale in Vailankanni Realtors JK Heritage, Vasai, Mumbai. It has a built-up area of 650 sqft and is priced at Rs. 34.00 lac . It is an unfurnished property. It is faci...Developed by Vailankanni Realtors"
2 BHK Apartment for sale,Vasai Mumbai,6150000 ,1005 ,Under Construction,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:A 2 BHK Apartment for sale in Vasai East, Mumbai. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Vasai East's most desired properties. Contact now for more information...Developed by Imperial Lifestyle"
2 BHK Apartment for sale,Vasai Mumbai,5500000 ,675 ,Ready to move,14 - 15 years old,2 Bathrooms,2 BHK Property for sale in Vasai Mumbai:Well designed 2 bhk multistorey apartment is available at a prime location in Rashmi Housing Rashmi Residency. It has an area of 675 sqft . The property is available at a price of Rs. 55.00 lac . The ...Developed by Rashmi Housing
2 BHK Apartment for sale,Vasai Mumbai,25000000 ,950 ,Ready to move,18 - 19 years old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:It has a salable area of 950 sqft and is available at a price of Rs. 26,315 per sqft. The house is semi-furnished. Its main door is facing north direction. It is a 19 year old ready-to-move-in propert...Developed by Reputed Builder"
1 BHK Apartment for sale,Vasai Mumbai,3381600 ,635 ,Ready to move,None,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:This spacious 1 bhk multistorey apartment is available for sale and is located in JSB Nakshatra Aazstha, one of the most prestigious projects of Vasai. It has an area of 635 sqft with a carpet area of...Developed by JSB"
2 BHK Apartment for sale,Vasai Mumbai,5500000 ,810 ,Under Construction,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Check out this 2 BHK Apartment for sale in Vasai East, Mumbai. This 2 BHK Apartment is perfect for a modern-day lifestyle. Vasai East is a promising location in Mumbai and this is one of the finest pr...Developed by Imperial Lifestyle"
3 BHK Apartment for sale,Vasai Mumbai,13000744 ,908 ,Under Construction,None,None,"3 BHK Property for sale in Vasai Mumbai:It has a built-up area of 908 sqft and is priced at Rs. 1.30 cr . It is an unfurnished property. It has landscape garden and tree planting. Other amenities include basketball court, changing room, nat...Developed by Sunteck Realty"
2 BHK Apartment for sale,Vasai Mumbai,6000000 ,750 ,Ready to move,None,1 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:A 2 bhk property is available for sale in Shripal Sattva Sattva Bldg, Vasai, Mumbai. It has a built-up area of 750 sqft and is priced at Rs. 60.00 lac . It is east facing property. It is a ready-to-mo...Developed by Shripal Sattva"
2 BHK Apartment for sale,Vasai Mumbai,5100000 ,865 ,Under Construction,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:2 BHK Apartment for sale in Vasai East, Mumbai - contact now, for details about the most coveted property. This 2 BHK unit is available in Vasai East and offers a premium lifestyle at the best price. ...Developed by Growth Housing"
1 BHK Apartment for sale,Vasai Mumbai,4100000 ,485 ,Under Construction,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A 1 bhk property is available for sale in Majesty Developers Mumbai Olympus Towers, Vasai, Mumbai. It has a salable area of 485 sqft and is available at a price of Rs. 8,453 per sqft. It is an unfurni...Developed by Majesty Developers Mumbai"
